sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,9066,9615,131172,122106,549,121557,45000,20000,20266,951,951,24734
2,131867,131885,133750,1883,18,1865,45000,20266,20543,992,992,24457
3,232149,232169,234081,1932,20,1912,45000,20543,20817,986,986,24183
4,332475,332493,334438,1963,18,1945,45000,20817,21088,979,979,23912
5,432814,432833,434822,2008,19,1989,45000,21088,21356,972,972,23644
6,533129,533148,535051,1922,19,1903,45000,21356,21620,965,965,23380
7,633450,633469,635420,1970,19,1951,45000,21620,21882,958,958,23118
8,733825,733848,735691,1866,23,1843,65000,21882,22155,1000,1000,42845
9,834101,834121,836008,1907,20,1887,65000,22155,22426,1000,1000,42574
10,934171,934190,936427,2256,19,2237,65000,22426,22696,1000,1000,42304
11,1034369,1034388,1036688,2319,19,2300,65000,22696,22965,1000,1000,42035
12,1134593,1134612,1136609,2016,19,1997,65000,22965,23234,1000,1000,41766
13,1234790,1234809,1236899,2109,19,2090,65000,23234,23501,1000,1000,41499
14,1334991,1335010,1336810,1819,19,1800,65000,23501,23767,1000,1000,41233
15,1435200,1435220,1437421,2221,20,2201,50000,23767,24032,1000,1000,25968
16,1535399,1535419,1537265,1866,20,1846,50000,24032,24295,1000,1000,25705
17,1635599,1635618,1637766,2167,19,2148,50000,24295,24558,1000,1000,25442
18,1735798,1735818,1738108,2310,20,2290,50000,24558,24820,1000,1000,25180
19,1836029,1836048,1837877,1848,19,1829,50000,24820,25081,1000,1000,24919
20,1936251,1936270,1938390,2139,19,2120,50000,25081,25340,1000,1000,24660
