sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,9887,22429,353920,344033,12542,331491,45000,20000,25585,951,951,19415
2,369518,369537,380856,11338,19,11319,45000,25585,25563,0,0,19437
3,469861,469881,471726,1865,20,1845,45000,25563,25768,811,811,19232
4,570107,570126,572263,2156,19,2137,45000,25768,25981,845,845,19019
5,670351,670370,672558,2207,19,2188,45000,25981,26193,842,842,18807
6,770597,770616,772443,1846,19,1827,45000,26193,26403,836,836,18597
7,870959,870978,873105,2146,19,2127,45000,26403,26610,831,831,18390
8,971339,971358,973588,2249,19,2230,45000,26610,26814,825,825,18186
9,1071709,1071728,1074166,2457,19,2438,45000,26814,27016,820,820,17984
10,1171953,1171972,1173780,1827,19,1808,45000,27016,27216,814,814,17784
11,1272319,1272338,1274252,1933,19,1914,45000,27216,27414,809,809,17586
12,1372571,1372590,1374817,2246,19,2227,45000,27414,27609,804,804,17391
13,1472812,1472831,1474515,1703,19,1684,45000,27609,27803,799,799,17197
14,1573057,1573076,1575242,2185,19,2166,45000,27803,27994,793,793,17006
15,1673299,1673318,1675731,2432,19,2413,45000,27994,28182,788,788,16818
16,1773486,1773505,1775623,2137,19,2118,45000,28182,28369,783,783,16631
17,1873741,1873919,1876257,2516,178,2338,45000,28369,28553,778,778,16447
18,1973953,1973972,1976102,2149,19,2130,45000,28553,28736,774,774,16264
19,2074198,2074371,2076609,2411,173,2238,45000,28736,28916,769,769,16084
20,2174409,2174428,2176894,2485,19,2466,45000,28916,29094,764,764,15906
21,2274630,2274649,2276670,2040,19,2021,45000,29094,29270,759,759,15730
22,2374838,2374858,2377124,2286,20,2266,45000,29270,29444,754,754,15556
23,2475079,2475098,2477424,2345,19,2326,45000,29444,29617,750,750,15383
24,2575289,2575308,2577681,2392,19,2373,45000,29617,29787,745,745,15213
25,2675500,2675519,2677622,2122,19,2103,45000,29787,29955,741,741,15045
26,2775714,2775733,2777998,2284,19,2265,45000,29955,30121,736,736,14879
27,2875925,2875945,2878339,2414,20,2394,45000,30121,30286,732,732,14714
28,2976138,2976157,2978178,2040,19,2021,45000,30286,30448,727,727,14552
29,3076348,3076367,3078737,2389,19,2370,45000,30448,30609,723,723,14391
30,3176555,3176574,3179016,2461,19,2442,45000,30609,30768,719,719,14232
31,3276768,3276787,3279041,2273,19,2254,45000,30768,30925,715,715,14075
32,3376978,3376997,3379445,2467,19,2448,45000,30925,31080,710,710,13920
33,3477185,3477204,3479710,2525,19,2506,45000,31080,31233,706,706,13767
34,3577416,3577435,3580031,2615,19,2596,45000,31233,31385,702,702,13615
35,3677623,3677642,3679951,2328,19,2309,65000,31385,31619,1000,1000,33381
36,3777876,3777896,3780241,2365,20,2345,65000,31619,31853,1000,1000,33147
37,3878126,3878145,3880622,2496,19,2477,65000,31853,32086,1000,1000,32914
38,3978373,3978393,3980846,2473,20,2453,65000,32086,32317,1000,1000,32683
39,4078619,4078638,4081058,2439,19,2420,65000,32317,32548,1000,1000,32452
40,4178843,4178862,4181293,2450,19,2431,65000,32548,32778,1000,1000,32222
41,4279088,4279107,4281554,2466,19,2447,65000,32778,33007,1000,1000,31993
42,4379333,4379352,4381607,2274,19,2255,65000,33007,33235,1000,1000,31765
43,4479736,4479755,4482115,2379,19,2360,65000,33235,33462,1000,1000,31538
44,4579981,4579999,4581907,1926,18,1908,65000,33462,33688,1000,1000,31312
45,4680223,4680242,4682378,2155,19,2136,65000,33688,33913,1000,1000,31087
46,4780476,4780495,4782837,2361,19,2342,65000,33913,34137,1000,1000,30863
47,4880729,4880748,4882693,1964,19,1945,65000,34137,34361,1000,1000,30639
48,4980970,4980990,4983353,2383,20,2363,65000,34361,34583,1000,1000,30417
49,5081338,5081358,5083658,2320,20,2300,65000,34583,34805,1000,1000,30195
50,5181704,5181723,5184095,2391,19,2372,65000,34805,35026,1000,1000,29974
51,5281947,5281966,5283928,1981,19,1962,65000,35026,35246,1000,1000,29754
52,5382190,5382209,5384398,2208,19,2189,65000,35246,35465,1000,1000,29535
53,5482430,5482449,5484637,2207,19,2188,65000,35465,35683,1000,1000,29317
54,5582752,5582770,5585005,2253,18,2235,65000,35683,35900,1000,1000,29100
55,5683124,5683293,5685524,2400,169,2231,65000,35900,36117,1000,1000,28883
56,5783366,5783386,5785727,2361,20,2341,65000,36117,36332,1000,1000,28668
57,5883591,5883610,5886077,2486,19,2467,65000,36332,36547,1000,1000,28453
58,5983802,5983821,5985897,2095,19,2076,65000,36547,36761,1000,1000,28239
59,6084012,6084031,6086241,2229,19,2210,65000,36761,36974,1000,1000,28026
60,6184255,6184274,6186624,2369,19,2350,65000,36974,37186,1000,1000,27814
61,6284495,6284514,6286538,2043,19,2024,65000,37186,37397,1000,1000,27603
62,6384714,6384733,6387026,2312,19,2293,65000,37397,37607,1000,1000,27393
63,6484935,6484954,6487441,2506,19,2487,65000,37607,37817,1000,1000,27183
64,6585142,6585162,6587210,2068,20,2048,65000,37817,38026,1000,1000,26974
65,6685391,6685557,6687731,2340,166,2174,65000,38026,38234,1000,1000,26766
66,6785601,6785620,6788033,2432,19,2413,65000,38234,38441,1000,1000,26559
67,6885836,6885855,6887973,2137,19,2118,65000,38441,38647,1000,1000,26353
68,6986044,6986063,6988431,2387,19,2368,50000,38647,38773,716,716,11227
69,7086256,7086276,7088285,2029,20,2009,50000,38773,38893,698,698,11107
70,7186462,7186482,7188743,2281,20,2261,50000,38893,39012,694,694,10988
71,7286702,7286721,7289085,2383,19,2364,50000,39012,39129,691,691,10871
72,7386910,7386929,7389392,2482,19,2463,50000,39129,39245,688,688,10755
73,7487120,7487140,7489221,2101,20,2081,50000,39245,39360,685,685,10640
74,7587339,7587358,7589708,2369,19,2350,50000,39360,39474,682,682,10526
75,7687575,7687594,7690086,2511,19,2492,50000,39474,39586,679,679,10414
76,7787785,7787804,7790255,2470,19,2451,50000,39586,39697,676,676,10303
77,7888038,7888057,7890506,2468,19,2449,50000,39697,39807,673,673,10193
78,7988264,7988284,7990768,2504,20,2484,50000,39807,39915,670,670,10085
79,8088508,8088528,8091012,2504,20,2484,50000,39915,40022,667,667,9978
80,8188755,8188774,8201528,12773,19,12754,50000,40022,40128,664,664,9872
81,8288982,8289001,8291075,2093,19,2074,50000,40128,40232,661,661,9768
82,8389210,8389229,8391618,2408,19,2389,50000,40232,40336,659,659,9664
83,8489457,8489476,8491996,2539,19,2520,50000,40336,40438,656,656,9562
84,8589703,8589722,8591744,2041,19,2022,50000,40438,40539,653,653,9461
85,8689956,8690125,8692277,2321,169,2152,50000,40539,40640,651,651,9360
86,8790205,8790224,8792677,2472,19,2453,50000,40640,40738,648,648,9262
87,8890431,8890451,8892576,2145,20,2125,50000,40738,40836,645,645,9164
88,8990960,8990979,8993390,2430,19,2411,50000,40836,40933,643,643,9067
89,9091194,9091213,9093745,2551,19,2532,50000,40933,41028,640,640,8972
90,9191439,9191459,9193422,1983,20,1963,50000,41028,41123,638,638,8877
91,9291684,9291703,9293927,2243,19,2224,50000,41123,41216,635,635,8784
92,9391923,9391942,9394173,2250,19,2231,50000,41216,41309,633,633,8691
93,9492291,9492310,9494510,2219,19,2200,50000,41309,41400,630,630,8600
94,9592534,9592554,9594877,2343,20,2323,50000,41400,41490,628,628,8510
95,9692779,9692798,9694577,1798,19,1779,50000,41490,41579,625,625,8421
96,9793031,9793050,9795091,2060,19,2041,50000,41579,41667,623,623,8333
97,9893256,9893275,9895654,2398,19,2379,50000,41667,41754,621,621,8246
98,9993504,9993524,9995886,2382,20,2362,50000,41754,41840,618,618,8160
99,10093716,10093735,10095920,2204,19,2185,50000,41840,41925,616,616,8075
100,10193926,10193946,10218618,24692,20,24672,50000,41925,42010,614,614,7990
