AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=2087341817 end_ticks=2210631984 records=1097 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=0 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2095200556 guest_counter_ticks=7978488 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=1 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2105375203 guest_counter_ticks=18153135 forwarding_ticks=21 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=2 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2105855333 guest_counter_ticks=18633265 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=3 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2106095111 guest_counter_ticks=18873043 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=4 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2106335176 guest_counter_ticks=19113108 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=5 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2106814774 guest_counter_ticks=19592706 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=6 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2107055637 guest_counter_ticks=19833569 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=7 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2107295688 guest_counter_ticks=20073620 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=8 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2107775447 guest_counter_ticks=20553379 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=9 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2108015351 guest_counter_ticks=20793283 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=10 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2108254856 guest_counter_ticks=21032788 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=11 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2108495481 guest_counter_ticks=21273413 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=12 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2108734916 guest_counter_ticks=21512848 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=13 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2109215368 guest_counter_ticks=21993300 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=14 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2109694756 guest_counter_ticks=22472688 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=15 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2110175530 guest_counter_ticks=22953462 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=16 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2110654771 guest_counter_ticks=23432703 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=17 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2110895753 guest_counter_ticks=23673685 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=18 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2111375246 guest_counter_ticks=24153178 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=19 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2111614940 guest_counter_ticks=24392872 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=20 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=2111854942 guest_counter_ticks=24632874 forwarding_ticks=7 injected=1
