AXVISOR_RT_HOST_TRACE schema=1 vm=1 counter_frequency_hz=24000000 start_ticks=1931969768 end_ticks=2055328787 records=1094 dropped=0 incomplete=0 failed_injections=0 unowned_virtual_timer_irqs=0 counter_frequency_mismatches=0
AXVISOR_RT_HOST_IRQ schema=1 sequence=0 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1939822214 guest_counter_ticks=7972069 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=1 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1949992738 guest_counter_ticks=18142593 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=2 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1950472595 guest_counter_ticks=18622450 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=3 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1950712576 guest_counter_ticks=18862431 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=4 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1950952459 guest_counter_ticks=19102314 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=5 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1951432799 guest_counter_ticks=19582654 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=6 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1951672325 guest_counter_ticks=19822180 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=7 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1951912621 guest_counter_ticks=20062476 forwarding_ticks=14 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=8 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1952392457 guest_counter_ticks=20542312 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=9 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1952632550 guest_counter_ticks=20782405 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=10 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1952872657 guest_counter_ticks=21022512 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=11 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1953112365 guest_counter_ticks=21262220 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=12 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1953352255 guest_counter_ticks=21502110 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=13 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1953832308 guest_counter_ticks=21982163 forwarding_ticks=7 injected=1
AXVISOR_RT_HOST_IRQ schema=1 sequence=14 vm=1 vcpu=0 pcpu=1 physical_irq=27 virtual_irq=27 host_counter_ticks=1954312508 guest_counter_ticks=22462363 forwarding_ticks=7 injected=1
