sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,9468,22543,60131,50663,13075,37588,45000,20000,20266,951,951,24734
2,109698,109718,111241,1543,20,1523,45000,20266,20543,992,992,24457
3,210065,210086,211889,1824,21,1803,45000,20543,20817,986,986,24183
4,310445,310465,312406,1961,20,1941,45000,20817,21088,979,979,23912
5,410808,410828,413169,2361,20,2341,45000,21088,21356,972,972,23644
6,511168,511188,512613,1445,20,1425,45000,21356,21620,965,965,23380
7,611408,611428,613490,2082,20,2062,45000,21620,21882,958,958,23118
8,711646,711666,712915,1269,20,1249,65000,21882,22155,1000,1000,42845
9,812008,812028,813643,1635,20,1615,65000,22155,22426,1000,1000,42574
10,912254,912274,914284,2030,20,2010,65000,22426,22696,1000,1000,42304
11,1012492,1012512,1013780,1288,20,1268,65000,22696,22965,1000,1000,42035
12,1112727,1112747,1114635,1908,20,1888,65000,22965,23234,1000,1000,41766
13,1213109,1213129,1215278,2169,20,2149,65000,23234,23501,1000,1000,41499
14,1313477,1313496,1315841,2364,19,2345,65000,23501,23767,1000,1000,41233
15,1413838,1413858,1415621,1783,20,1763,50000,23767,24032,1000,1000,25968
16,1514204,1514223,1516133,1929,19,1910,50000,24032,24295,1000,1000,25705
17,1614575,1614595,1616689,2114,20,2094,50000,24295,24558,1000,1000,25442
18,1714933,1714953,1717398,2465,20,2445,50000,24558,24820,1000,1000,25180
19,1815169,1815188,1816797,1628,19,1609,50000,24820,25081,1000,1000,24919
20,1915351,1915371,1931998,16647,20,16627,50000,25081,25340,1000,1000,24660
