sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,9429,22911,59835,50406,13482,36924,45000,20000,20266,951,951,24734
2,109663,109684,111441,1778,21,1757,45000,20266,20543,992,992,24457
3,210049,210069,212117,2068,20,2048,45000,20543,20817,986,986,24183
4,310422,310442,312589,2167,20,2147,45000,20817,21088,979,979,23912
5,410658,410678,412087,1429,20,1409,45000,21088,21356,972,972,23644
6,511033,511053,513373,2340,20,2320,45000,21356,21620,965,965,23380
7,611280,611300,613742,2462,20,2442,45000,21620,21882,958,958,23118
8,711515,711535,713601,2086,20,2066,65000,21882,22155,1000,1000,42845
9,811750,811770,813358,1608,20,1588,65000,22155,22426,1000,1000,42574
10,912122,912142,914407,2285,20,2265,65000,22426,22696,1000,1000,42304
11,1012358,1012378,1014845,2487,20,2467,65000,22696,22965,1000,1000,42035
12,1112605,1112625,1115265,2660,20,2640,65000,22965,23234,1000,1000,41766
13,1212833,1212854,1214965,2132,21,2111,65000,23234,23501,1000,1000,41499
14,1313004,1313024,1314761,1757,20,1737,65000,23501,23767,1000,1000,41233
15,1413231,1413251,1415816,2585,20,2565,50000,23767,24032,1000,1000,25968
16,1513463,1513483,1516283,2820,20,2800,50000,24032,24295,1000,1000,25705
17,1613712,1613732,1616076,2364,20,2344,50000,24295,24558,1000,1000,25442
18,1713938,1713958,1716355,2417,20,2397,50000,24558,24820,1000,1000,25180
19,1814165,1814185,1815918,1753,20,1733,50000,24820,25081,1000,1000,24919
20,1914394,1914415,1931087,16693,21,16672,50000,25081,25340,1000,1000,24660
